date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,bps,eps,dps
2024-08-01,86000,86100,83100,83100,20900338,-0.9535160905840285,-89657307800,17361623000,43115469000,29180215800,39.0,1.6,1.74,52002,2131,1444
2024-08-02,81000,81400,79500,79600,25800275,-4.21179302045728,-252702178300,18587268500,522198030300,-288083120500,37.35,1.53,1.81,52002,2131,1444
2024-08-05,76700,76900,70200,71400,54608790,-10.301507537688442,-177815603400,50971430800,1351681198000,-1224837025400,33.51,1.37,2.02,52002,2131,1444
2024-08-06,74900,75300,72300,72500,47295226,1.5406162464985995,-514351203400,38799148600,658368176700,-182816121900,34.02,1.39,1.99,52002,2131,1444
2024-08-07,73000,76000,72800,74700,32710428,3.0344827586206895,-156686010600,11527637200,63400827100,81757546300,35.05,1.44,1.93,52002,2131,1444
2024-08-08,73200,73900,72500,73400,28414729,-1.7402945113788488,-278443653600,8338404900,510444313900,-240339065200,34.44,1.41,1.97,52002,2131,1444
2024-08-09,75700,75800,74200,74700,16388222,1.7711171662125342,-1702228200,18056486900,-58498796900,42144538200,35.05,1.44,1.93,52002,2131,1444
2024-08-12,75200,75900,74800,75500,9839259,1.07095046854083,8510422600,-3716214900,-40788433200,35994225500,35.43,1.45,1.91,52002,2131,1444
2024-08-13,76500,76600,75500,76100,10716261,0.7947019867549668,-15577569600,-5512032700,-120303693400,141393295700,35.71,1.46,1.9,52002,2131,1444
2024-08-14,77400,77800,77000,77200,13246168,1.445466491458607,-17801175100,26305084400,-166638535000,158134625700,36.23,1.48,1.87,52002,2131,1444
2024-08-16,79400,80200,78700,80200,22061478,3.8860103626943006,72520226800,-9399141900,-581658603000,518537518100,37.63,1.54,1.8,52002,2131,1444
2024-08-19,80100,80100,78000,78300,14146565,-2.369077306733167,-26566875700,5512001300,136433120000,-115378245600,36.74,1.51,1.84,52002,2131,1444
2024-08-20,79500,79800,78700,78900,10683836,0.7662835249042145,-11292781500,203267100,-62295651800,73385166200,37.02,1.52,1.83,52002,2131,1444
2024-08-21,77900,78600,77800,78300,7805598,-0.7604562737642585,13792111300,-4514665600,-15629467600,6352021900,36.74,1.51,1.84,52002,2131,1444
2024-08-22,78700,78900,77800,78300,8149101,0.0,-35367394300,-916282500,11878963200,24404713600,36.74,1.51,1.84,52002,2131,1444
2024-08-23,77700,78400,77500,77700,9420306,-0.7662835249042145,58127384500,-4173416600,36142889000,-90096856900,36.46,1.49,1.86,52002,2131,1444
2024-08-26,78100,78200,76000,76100,15655938,-2.0592020592020592,43998466500,6094963800,235032769400,-285126199700,35.71,1.46,1.9,52002,2131,1444
2024-08-27,75700,76500,75600,75800,11130145,-0.39421813403416556,23082123300,4758224800,81785298000,-109625646100,35.57,1.46,1.91,52002,2131,1444
2024-08-28,75800,76400,75400,76400,9794514,0.79155672823219,40293400800,2330521600,68073607700,-110697530100,35.85,1.47,1.89,52002,2131,1444
2024-08-29,73600,74700,73500,74000,16884479,-3.1413612565445024,-161701544000,16202841200,479461459000,-333962756200,34.73,1.42,1.95,52002,2131,1444
2024-08-30,74400,75000,74100,74300,16358520,0.40540540540540543,101116690800,4033503800,82091557000,-187241751600,34.87,1.43,1.94,52002,2131,1444
2024-09-02,74500,74700,73500,74400,12641376,0.13458950201884254,-175982088800,4862091500,33404165500,137715831800,34.91,1.43,1.94,52002,2131,1444
2024-09-03,74100,74300,72500,72500,16314599,-2.553763440860215,-123372063500,11734283800,535518572400,-423880792700,34.02,1.39,1.99,52002,2131,1444
2024-09-04,69800,71100,69800,70000,27366563,-3.4482758620689653,-283791061200,25489966800,774821550700,-516520456300,32.85,1.35,2.06,52002,2131,1444
2024-09-05,70100,71200,69000,69000,25686769,-1.4285714285714286,-25791144600,14197073800,617652260900,-606058190100,32.38,1.33,2.09,52002,2131,1444
2024-09-06,69100,69700,68000,68900,19022299,-0.14492753623188406,-28112451300,3832846400,190500676400,-166221071500,32.33,1.32,2.1,52002,2131,1444
2024-09-09,66900,68200,66600,67500,23263298,-2.0319303338171264,-54417914300,14053675600,426194120100,-385829881400,31.68,1.3,2.14,52002,2131,1444
2024-09-10,67000,67300,66000,66200,30651376,-1.925925925925926,-85543567200,12792453200,658439122100,-585688008100,31.07,1.27,2.18,52002,2131,1444
2024-09-11,65100,65500,64200,64900,35809707,-1.9637462235649545,-39945065100,73868653900,871577800500,-905501389300,30.46,1.25,2.22,52002,2131,1444
2024-09-12,66000,66600,65200,66300,35884106,2.157164869029276,58600626100,-40969675300,324859123200,-342490074000,31.11,1.27,2.18,52002,2131,1444
2024-09-13,65000,65500,64300,64400,25045135,-2.865761689291101,31580479800,80951188100,672033045300,-784564713200,30.22,1.24,2.24,52002,2131,1444
